PMID	REGULATOR	REGULATED	NORMALIZED_EFFECT	sentence_tagged
16478729	Rob	galT	regulator	Transposon mutagenesis experiments aimed at defining the Rob regulon revealed eight @TF$ - regulated targets , namely inaA , marRAB , aslB , ybaO , mdlA , yfhD , ybiS , and @Regulated$ ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	galT	no_relation	Transposon mutagenesis experiments aimed at defining the @TF$ regulon revealed eight Rob - regulated targets , namely inaA , marRAB , aslB , ybaO , mdlA , yfhD , ybiS , and @Regulated$ ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	inaA	regulator	Transposon mutagenesis experiments aimed at defining the Rob regulon revealed eight @TF$ - regulated targets , namely @Regulated$ , marRAB , aslB , ybaO , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	inaA	no_relation	Transposon mutagenesis experiments aimed at defining the @TF$ regulon revealed eight Rob - regulated targets , namely @Regulated$ , marRAB , aslB , ybaO , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	mdlA	regulator	Transposon mutagenesis experiments aimed at defining the Rob regulon revealed eight @TF$ - regulated targets , namely inaA , marRAB , aslB , ybaO , @Regulated$ , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	mdlA	no_relation	Transposon mutagenesis experiments aimed at defining the @TF$ regulon revealed eight Rob - regulated targets , namely inaA , marRAB , aslB , ybaO , @Regulated$ , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	ybaO	regulator	Transposon mutagenesis experiments aimed at defining the Rob regulon revealed eight @TF$ - regulated targets , namely inaA , marRAB , aslB , @Regulated$ , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	ybaO	no_relation	Transposon mutagenesis experiments aimed at defining the @TF$ regulon revealed eight Rob - regulated targets , namely inaA , marRAB , aslB , @Regulated$ , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	ybiS	regulator	Transposon mutagenesis experiments aimed at defining the Rob regulon revealed eight @TF$ - regulated targets , namely inaA , marRAB , aslB , ybaO , mdlA , yfhD , @Regulated$ , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	ybiS	no_relation	Transposon mutagenesis experiments aimed at defining the @TF$ regulon revealed eight Rob - regulated targets , namely inaA , marRAB , aslB , ybaO , mdlA , yfhD , @Regulated$ , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	yfhD	regulator	Transposon mutagenesis experiments aimed at defining the Rob regulon revealed eight @TF$ - regulated targets , namely inaA , marRAB , aslB , ybaO , mdlA , @Regulated$ , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	yfhD	no_relation	Transposon mutagenesis experiments aimed at defining the @TF$ regulon revealed eight Rob - regulated targets , namely inaA , marRAB , aslB , ybaO , mdlA , @Regulated$ , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
15659677	GntR	eda	activator	P1 drives cotranscription of edd and @Regulated$ and is induced by growth on gluconate ( 7 ) ; P1 appears to be controlled by @TF$ ( 20 , 21 , 24 ) , although binding of GntR to the P1 regulatory region was not established prior to this work .
15659677	GntR	eda	no_relation	P1 drives cotranscription of edd and @Regulated$ and is induced by growth on gluconate ( 7 ) ; P1 appears to be controlled by GntR ( 20 , 21 , 24 ) , although binding of @TF$ to the P1 regulatory region was not established prior to this work .
15659677	GntR	edd	activator	P1 drives cotranscription of @Regulated$ and eda and is induced by growth on gluconate ( 7 ) ; P1 appears to be controlled by @TF$ ( 20 , 21 , 24 ) , although binding of GntR to the P1 regulatory region was not established prior to this work .
15659677	GntR	edd	no_relation	P1 drives cotranscription of @Regulated$ and eda and is induced by growth on gluconate ( 7 ) ; P1 appears to be controlled by GntR ( 20 , 21 , 24 ) , although binding of @TF$ to the P1 regulatory region was not established prior to this work .
12079504	Fnr	dmsABC	activator	Mutagenesis of the Fnr recognition sequence at the dmsA promoter region confirmed the contribution of @TF$ in the 100 - fold activation of @Regulated$ expression and explored the DNA sequence and spacing requirements for the Fnr recognition site at the P1 promoter .
12079504	Fnr	dmsABC	no_relation	Mutagenesis of the @TF$ recognition sequence at the dmsA promoter region confirmed the contribution of Fnr in the 100 - fold activation of @Regulated$ expression and explored the DNA sequence and spacing requirements for the Fnr recognition site at the P1 promoter .
12079504	Fnr	dmsABC	no_relation	Mutagenesis of the Fnr recognition sequence at the dmsA promoter region confirmed the contribution of Fnr in the 100 - fold activation of @Regulated$ expression and explored the DNA sequence and spacing requirements for the @TF$ recognition site at the P1 promoter .
8626315	Rob	fumC	activator	Moreover , they found that @TF$ overexpression activates expression of @Regulated$ , sodA , and inaA ( unknown function ) , but not zwf , and that purified Rob forms DNA - protein complexes with DNA fragments containing the micF , sodA , nfo , and zwf promoters ( 3 ) .
8626315	Rob	fumC	no_relation	Moreover , they found that Rob overexpression activates expression of @Regulated$ , sodA , and inaA ( unknown function ) , but not zwf , and that purified @TF$ forms DNA - protein complexes with DNA fragments containing the micF , sodA , nfo , and zwf promoters ( 3 ) .
8626315	Rob	inaA	activator	Moreover , they found that @TF$ overexpression activates expression of fumC , sodA , and @Regulated$ ( unknown function ) , but not zwf , and that purified Rob forms DNA - protein complexes with DNA fragments containing the micF , sodA , nfo , and zwf promoters ( 3 ) .
8626315	Rob	inaA	no_relation	Moreover , they found that Rob overexpression activates expression of fumC , sodA , and @Regulated$ ( unknown function ) , but not zwf , and that purified @TF$ forms DNA - protein complexes with DNA fragments containing the micF , sodA , nfo , and zwf promoters ( 3 ) .
10747919	MelR	melAB	activator	Recent studies ( 11 ) have shown that the occupation of site 2 by @TF$ is the most crucial for the activation of the @Regulated$ promoter , but that , of the four target sites , site 2 binds MelR most weakly .
10747919	MelR	melAB	no_relation	Recent studies ( 11 ) have shown that the occupation of site 2 by MelR is the most crucial for the activation of the @Regulated$ promoter , but that , of the four target sites , site 2 binds @TF$ most weakly .
12618441	GntR	gntKU	repressor	Both gntT and @Regulated$ are regulated positively by the cyclic AMP ( cAMP ) - cAMP receptor protein ( CRP ) complex and negatively by @TF$ ; one GntR - binding element for gntK has been proposed ( 12 , 34 ) , and two GntR - binding elements for gntT were experimentally defined ( 26 ) .
12618441	GntR	gntKU	no_relation	Both gntT and @Regulated$ are regulated positively by the cyclic AMP ( cAMP ) - cAMP receptor protein ( CRP ) complex and negatively by GntR ; one @TF$ - binding element for gntK has been proposed ( 12 , 34 ) , and two GntR - binding elements for gntT were experimentally defined ( 26 ) .
12618441	GntR	gntKU	no_relation	Both gntT and @Regulated$ are regulated positively by the cyclic AMP ( cAMP ) - cAMP receptor protein ( CRP ) complex and negatively by GntR ; one GntR - binding element for gntK has been proposed ( 12 , 34 ) , and two @TF$ - binding elements for gntT were experimentally defined ( 26 ) .
7643383	NarL	fdnG	regulator	Some of these operons are regulated by the @TF$ protein alone , such as the narG and frdA operons , whereas expression of the nirB ( encoding NADH - dependent nitrite reductase ) , nrfA and @Regulated$ operons is controlled by both the NarL and NarP proteins .
7643383	NarL	fdnG	no_relation	Some of these operons are regulated by the NarL protein alone , such as the narG and frdA operons , whereas expression of the nirB ( encoding NADH - dependent nitrite reductase ) , nrfA and @Regulated$ operons is controlled by both the @TF$ and NarP proteins .
7643383	NarL	frdA	regulator	Some of these operons are regulated by the @TF$ protein alone , such as the narG and @Regulated$ operons , whereas expression of the nirB ( encoding NADH - dependent nitrite reductase ) , nrfA and fdnG operons is controlled by both the NarL and NarP proteins .
7643383	NarL	frdA	no_relation	Some of these operons are regulated by the NarL protein alone , such as the narG and @Regulated$ operons , whereas expression of the nirB ( encoding NADH - dependent nitrite reductase ) , nrfA and fdnG operons is controlled by both the @TF$ and NarP proteins .
7643383	NarL	narG	regulator	Some of these operons are regulated by the @TF$ protein alone , such as the @Regulated$ and frdA operons , whereas expression of the nirB ( encoding NADH - dependent nitrite reductase ) , nrfA and fdnG operons is controlled by both the NarL and NarP proteins .
7643383	NarL	narG	no_relation	Some of these operons are regulated by the NarL protein alone , such as the @Regulated$ and frdA operons , whereas expression of the nirB ( encoding NADH - dependent nitrite reductase ) , nrfA and fdnG operons is controlled by both the @TF$ and NarP proteins .
7643383	NarL	nirB	regulator	Some of these operons are regulated by the @TF$ protein alone , such as the narG and frdA operons , whereas expression of the @Regulated$ ( encoding NADH - dependent nitrite reductase ) , nrfA and fdnG operons is controlled by both the NarL and NarP proteins .
7643383	NarL	nirB	no_relation	Some of these operons are regulated by the NarL protein alone , such as the narG and frdA operons , whereas expression of the @Regulated$ ( encoding NADH - dependent nitrite reductase ) , nrfA and fdnG operons is controlled by both the @TF$ and NarP proteins .
7643383	NarL	nrfA	regulator	Some of these operons are regulated by the NarL protein alone , such as the narG and frdA operons , whereas expression of the nirB ( encoding NADH - dependent nitrite reductase ) , @Regulated$ and fdnG operons is controlled by both the @TF$ and NarP proteins .
7643383	NarL	nrfA	no_relation	Some of these operons are regulated by the @TF$ protein alone , such as the narG and frdA operons , whereas expression of the nirB ( encoding NADH - dependent nitrite reductase ) , @Regulated$ and fdnG operons is controlled by both the NarL and NarP proteins .
19007420	GalS	galP	repressor	An isorepressor , GalS , has also been identified as Â© 2008 The Authors Journal compilation Â© 2008 Blackwell Publishing LtdNagC , GalR and @TF$ repression at @Regulated$ 147 Fig . 1 .
19007420	GalS	galP	no_relation	An isorepressor , @TF$ , has also been identified as Â© 2008 The Authors Journal compilation Â© 2008 Blackwell Publishing LtdNagC , GalR and GalS repression at @Regulated$ 147 Fig . 1 .
12079504	Fnr	dmsABC	activator	The enhanced ability of @TF$ to activate @Regulated$ gene expression is possibly , by analogy to Crp , due to increased affinity of Fnr at the consensus versus the native non - consensus Fnr recognition sequence at dmsA .
12079504	Fnr	dmsABC	no_relation	The enhanced ability of Fnr to activate @Regulated$ gene expression is possibly , by analogy to Crp , due to increased affinity of @TF$ at the consensus versus the native non - consensus Fnr recognition sequence at dmsA .
12079504	Fnr	dmsABC	no_relation	The enhanced ability of Fnr to activate @Regulated$ gene expression is possibly , by analogy to Crp , due to increased affinity of Fnr at the consensus versus the native non - consensus @TF$ recognition sequence at dmsA .
8995231	DnaA	guaBA	repressor	Also , @TF$ protein functions as a transcriptional repressor for the expression of other genes including rpoH ( 18 ) , mioC ( 19 ) , the @Regulated$ operon ( 20 ) , and uvrB ( 21 ) , while the expression of the nrd gene appeared to be enhanced by DnaA protein ( 22 ) .
8995231	DnaA	guaBA	no_relation	Also , DnaA protein functions as a transcriptional repressor for the expression of other genes including rpoH ( 18 ) , mioC ( 19 ) , the @Regulated$ operon ( 20 ) , and uvrB ( 21 ) , while the expression of the nrd gene appeared to be enhanced by @TF$ protein ( 22 ) .
8995231	DnaA	mioC	repressor	Also , @TF$ protein functions as a transcriptional repressor for the expression of other genes including rpoH ( 18 ) , @Regulated$ ( 19 ) , the guaBA operon ( 20 ) , and uvrB ( 21 ) , while the expression of the nrd gene appeared to be enhanced by DnaA protein ( 22 ) .
8995231	DnaA	mioC	no_relation	Also , DnaA protein functions as a transcriptional repressor for the expression of other genes including rpoH ( 18 ) , @Regulated$ ( 19 ) , the guaBA operon ( 20 ) , and uvrB ( 21 ) , while the expression of the nrd gene appeared to be enhanced by @TF$ protein ( 22 ) .
8995231	DnaA	nrd	activator	Also , DnaA protein functions as a transcriptional repressor for the expression of other genes including rpoH ( 18 ) , mioC ( 19 ) , the guaBA operon ( 20 ) , and uvrB ( 21 ) , while the expression of the @Regulated$ gene appeared to be enhanced by @TF$ protein ( 22 ) .
8995231	DnaA	nrd	no_relation	Also , @TF$ protein functions as a transcriptional repressor for the expression of other genes including rpoH ( 18 ) , mioC ( 19 ) , the guaBA operon ( 20 ) , and uvrB ( 21 ) , while the expression of the @Regulated$ gene appeared to be enhanced by DnaA protein ( 22 ) .
8995231	DnaA	rpoH	repressor	Also , @TF$ protein functions as a transcriptional repressor for the expression of other genes including @Regulated$ ( 18 ) , mioC ( 19 ) , the guaBA operon ( 20 ) , and uvrB ( 21 ) , while the expression of the nrd gene appeared to be enhanced by DnaA protein ( 22 ) .
8995231	DnaA	rpoH	no_relation	Also , DnaA protein functions as a transcriptional repressor for the expression of other genes including @Regulated$ ( 18 ) , mioC ( 19 ) , the guaBA operon ( 20 ) , and uvrB ( 21 ) , while the expression of the nrd gene appeared to be enhanced by @TF$ protein ( 22 ) .
8995231	DnaA	uvrB	repressor	Also , @TF$ protein functions as a transcriptional repressor for the expression of other genes including rpoH ( 18 ) , mioC ( 19 ) , the guaBA operon ( 20 ) , and @Regulated$ ( 21 ) , while the expression of the nrd gene appeared to be enhanced by DnaA protein ( 22 ) .
8995231	DnaA	uvrB	no_relation	Also , DnaA protein functions as a transcriptional repressor for the expression of other genes including rpoH ( 18 ) , mioC ( 19 ) , the guaBA operon ( 20 ) , and @Regulated$ ( 21 ) , while the expression of the nrd gene appeared to be enhanced by @TF$ protein ( 22 ) .
8995231	IciA	dnaA	regulator	Also , @TF$ protein binds to two sites , IciA I and IciA II , in the @Regulated$ promoter region ( 25 ) .
8995231	IciA	dnaA	no_relation	Also , IciA protein binds to two sites , @TF$ I and IciA II , in the @Regulated$ promoter region ( 25 ) .
8995231	IciA	dnaA	no_relation	Also , IciA protein binds to two sites , IciA I and @TF$ II , in the @Regulated$ promoter region ( 25 ) .
11073923	CRP	rhaBAD	activator	An additional 50 - fold activation of @Regulated$ expression occurs when @TF$ occupies its binding site centered at 92.5 , which places CRP adjacent to RhaS ( 9 ) .
11073923	CRP	rhaBAD	no_relation	An additional 50 - fold activation of @Regulated$ expression occurs when CRP occupies its binding site centered at 92.5 , which places @TF$ adjacent to RhaS ( 9 ) .
8729576	RbsR	rbsDACBK	regulator	This investigation reveals that the similarity sufficient to guarantee homology is hardly found between the regulatory protein and the regulated protein , except for the relation between the repressor @TF$ and the regulated operon @Regulated$ , where RbsR has been indicated to show considerable similarity to the ribose binding protein RbsB ( Mauzy &amp; Hermodson , 1992 ) , and for some of the regulatory proteins that are known to be self - regulated at the level of transcription .
8729576	RbsR	rbsDACBK	no_relation	This investigation reveals that the similarity sufficient to guarantee homology is hardly found between the regulatory protein and the regulated protein , except for the relation between the repressor RbsR and the regulated operon @Regulated$ , where @TF$ has been indicated to show considerable similarity to the ribose binding protein RbsB ( Mauzy &amp; Hermodson , 1992 ) , and for some of the regulatory proteins that are known to be self - regulated at the level of transcription .
12100559	MarA	nfsA	activator	MarA upregulates expression of nfnB Both oxygen - insensitive nitroreductases @Regulated$ and nfnB were shown to be upregulated by constitutive expression of @TF$ from plasmid pAS10 ( Barbosa and Levy , 2000 ) .
12100559	MarA	nfsA	no_relation	 @TF$ upregulates expression of nfnB Both oxygen - insensitive nitroreductases @Regulated$ and nfnB were shown to be upregulated by constitutive expression of MarA from plasmid pAS10 ( Barbosa and Levy , 2000 ) .
8825783	IciA	dnaA	activator	The 32 P - end - labelled fragments were incubated with the indicated amounts of IciA protein and subjected to gel - shift analysis as described in the Experimental procedures . # 1996 Blackwell Science Ltd , Molecular Microbiology , 19 , 389 â€“ 396Transcriptional activation of the @Regulated$ gene by @TF$ protein 391 Fig . 3 .
8825783	IciA	dnaA	no_relation	The 32 P - end - labelled fragments were incubated with the indicated amounts of @TF$ protein and subjected to gel - shift analysis as described in the Experimental procedures . # 1996 Blackwell Science Ltd , Molecular Microbiology , 19 , 389 â€“ 396Transcriptional activation of the @Regulated$ gene by IciA protein 391 Fig . 3 .
10760179	MelR	melR	repressor	We show that the @Regulated$ promoter is repressed by @TF$ and that this autoregulation requires MelR binding to Site R .
10760179	MelR	melR	no_relation	We show that the @Regulated$ promoter is repressed by MelR and that this autoregulation requires @TF$ binding to Site R .
24272778	AraC	araA	regulator	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved AraC regulon that includes 7 previously described @TF$ - regulated genes ( araB , @Regulated$ , araD , araE , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araA	no_relation	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved @TF$ regulon that includes 7 previously described AraC - regulated genes ( araB , @Regulated$ , araD , araE , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araB	regulator	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved AraC regulon that includes 7 previously described @TF$ - regulated genes ( @Regulated$ , araA , araD , araE , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araB	no_relation	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved @TF$ regulon that includes 7 previously described AraC - regulated genes ( @Regulated$ , araA , araD , araE , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araD	regulator	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved AraC regulon that includes 7 previously described @TF$ - regulated genes ( araB , araA , @Regulated$ , araE , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araD	no_relation	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved @TF$ regulon that includes 7 previously described AraC - regulated genes ( araB , araA , @Regulated$ , araE , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araE	regulator	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved AraC regulon that includes 7 previously described @TF$ - regulated genes ( araB , araA , araD , @Regulated$ , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araE	no_relation	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved @TF$ regulon that includes 7 previously described AraC - regulated genes ( araB , araA , araD , @Regulated$ , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araF	regulator	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved AraC regulon that includes 7 previously described @TF$ - regulated genes ( araB , araA , araD , araE , @Regulated$ , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araF	no_relation	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved @TF$ regulon that includes 7 previously described AraC - regulated genes ( araB , araA , araD , araE , @Regulated$ , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araG	regulator	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved AraC regulon that includes 7 previously described @TF$ - regulated genes ( araB , araA , araD , araE , araF , @Regulated$ , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araG	no_relation	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved @TF$ regulon that includes 7 previously described AraC - regulated genes ( araB , araA , araD , araE , araF , @Regulated$ , and araH ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araH	regulator	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved AraC regulon that includes 7 previously described @TF$ - regulated genes ( araB , araA , araD , araE , araF , araG , and @Regulated$ ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araH	no_relation	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved @TF$ regulon that includes 7 previously described AraC - regulated genes ( araB , araA , araD , araE , araF , araG , and @Regulated$ ) as well as three novel targets identified in this work ( ytfQ , araT , and araU ) .
24272778	AraC	araT	regulator	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved AraC regulon that includes 7 previously described @TF$ - regulated genes ( araB , araA , araD , araE , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , @Regulated$ , and araU ) .
24272778	AraC	araT	no_relation	Together with a bioinformatic analysis of other Enterobacteriaceae species , these data identify a conserved @TF$ regulon that includes 7 previously described AraC - regulated genes ( araB , araA , araD , araE , araF , araG , and araH ) as well as three novel targets identified in this work ( ytfQ , @Regulated$ , and araU ) .
